id,title,company_name,location,link,image_url,salary_min,salary_max,published_date_parsed,metadata
f010273f-e3ea-4140-9ad3-d226c4d38270,Senior Manager - Product Marketing,propertyguru,"Singapore, Singapore",https://www.techinasia.com/jobs/f010273f-e3ea-4140-9ad3-d226c4d38270,https://cdn.techinasia.com/data/images/d576c8bce4f1a8c517fdbad0e1ae344f.jpg,,,,"Marketing & PR,Property marketplaces,Full-time"
87a1c47a-7d3d-43dd-8e42-6b6082c55a8f,Senior Program Manager,propertyguru,"Singapore, Singapore",https://www.techinasia.com/jobs/87a1c47a-7d3d-43dd-8e42-6b6082c55a8f,https://cdn.techinasia.com/data/images/d576c8bce4f1a8c517fdbad0e1ae344f.jpg,,,,"Project & Product Management,Property marketplaces,Full-time"
c36675b4-3b7b-4467-8ee6-5bba6b076105,"(Senior) Manager, Talent Acquisition",funding societies (modalku),"Singapore, Singapore",https://www.techinasia.com/jobs/c36675b4-3b7b-4467-8ee6-5bba6b076105,https://cdn.techinasia.com/data/images/79176b226d6cec6c7cdac393705cff7a.jpg,,,,"Human Resources,Lending, loans, and credit,Full-time"
8de09d89-bfd2-42e1-b849-ed2bf0088c00,"Senior Associate, Financial Control",checkout.com,"Singapore, Singapore",https://www.techinasia.com/jobs/8de09d89-bfd2-42e1-b849-ed2bf0088c00,https://cdn.techinasia.com/data/images/d10Jccs4h5Ocnt70cRAt6KlsQDIE8iQ9YQ45OZLh.jpeg,,,,"Finance, Legal & Accounting,Payments and remittance,Full-time"
339e96d7-4fe1-4d84-acc4-9bf3e579b69d,AI Research Associate,sonar,"Singapore, Singapore",https://www.techinasia.com/jobs/339e96d7-4fe1-4d84-acc4-9bf3e579b69d,https://cdn.techinasia.com/data/images/xYccp7E5dHXB8jN3hrZDXB8tAl42USqYGULUmjxd.jpeg,,,,"Software Engineer,Software,Full-time"
5ff842d7-a0c4-4167-99cc-4b072d7a6981,"Senior Engineer, iOS",viki,"Singapore, Singapore",https://www.techinasia.com/jobs/5ff842d7-a0c4-4167-99cc-4b072d7a6981,https://cdn.techinasia.com/data/images/3cfc0bbe2c406b1d9d0923d10e590868.png,,,,"Software Engineer,Video Streaming,Full-time"
08964bdd-8820-4638-9f59-e352268d72b3,Senior Site Reliability Engineer,f5 networks,"Singapore, Singapore",https://www.techinasia.com/jobs/08964bdd-8820-4638-9f59-e352268d72b3,https://cdn.techinasia.com/data/images/S4pFQ1UApmo0z95WSaHDAV1hiwJOcsXXk637TShJ.jpeg,,,,"DevOps & Cloud Management,IT & Cybersecurity,Full-time"
4c0c69b3-2dd4-4c45-a6be-277116bc280f,Senior Machine Learning Engineer - ML Systems,motional,"Singapore, Singapore",https://www.techinasia.com/jobs/4c0c69b3-2dd4-4c45-a6be-277116bc280f,https://cdn.techinasia.com/data/images/60g91ZznGoEQzBJfsr1sLA7Rf2O1v5ijfctgqlRQ.jpeg,,,,"Software Engineer,Autonomous driving,Full-time"
e749a234-b27f-4dc5-8f6f-157b104a85b3,Customer Success Manager,datadog,"Singapore, Singapore",https://www.techinasia.com/jobs/e749a234-b27f-4dc5-8f6f-157b104a85b3,https://cdn.techinasia.com/data/images/8DCr5uaksNfZgukGgIlzAKKMr7bfLT1w8z9KM2EW.png,,,,"Customer Service,SaaS,Full-time"
24b94692-fe0c-46e5-8207-12f0281cef21,Site Reliability Engineer,kong inc.,"Singapore, Singapore",https://www.techinasia.com/jobs/24b94692-fe0c-46e5-8207-12f0281cef21,https://cdn.techinasia.com/data/images/xGgZRc2euUD5xdbefZYJnFbgVHw423d8HCJNjcJu.jpeg,,,,"DevOps & Cloud Management,Software,Full-time"
76f80628-60ca-4622-b0e8-c1a32363a62b,Client Success Manager,intellect,"Singapore, Singapore",https://www.techinasia.com/jobs/76f80628-60ca-4622-b0e8-c1a32363a62b,https://cdn.techinasia.com/data/images/HlVeIVoj6L07MQOPRluZlmcdhJOSXvxaMhXAfJuI.png,,,,"Sales & Business Development,Health and wellness,Full-time"
a1cfdd79-b82a-4764-bae0-aaac44b9b0a8,Principal AI Engineer,bjak,"Singapore, Singapore",https://www.techinasia.com/jobs/a1cfdd79-b82a-4764-bae0-aaac44b9b0a8,https://cdn.techinasia.com/data/images/4K3kQfWdK8AnPYM3BFvJRjDDVekES5jBl4GbCBHg.png,,,,"Software Engineer,Insurance tech,Full-time"
676b9327-2331-4162-b2ff-858d45666a14,"VC Partnerships, APAC",openai,"Singapore, Singapore",https://www.techinasia.com/jobs/676b9327-2331-4162-b2ff-858d45666a14,https://cdn.techinasia.com/data/images/FQPuasOT5nwEZaYXxP3Sz19XagJ2HOA4e6IPXq7j.jpeg,,,,"Sales & Business Development,Artificial Intelligence,Full-time"
3a49838a-8b19-4c3f-b08d-fd3a8821a62c,"Software Engineer, 3D Data Team",tektome,"Singapore, Singapore",https://www.techinasia.com/jobs/3a49838a-8b19-4c3f-b08d-fd3a8821a62c,https://cdn.techinasia.com/data/images/8kj1mQP7j9NdL158nqs4ieYIK6qs1sXMH3aJ2zFv.jpeg,,,,"Software Engineer,Software,Full-time"
e0214dc0-73ec-4950-9b6f-7bc8b16ef73f,Senior Software Engineer,tektome,"Singapore, Singapore",https://www.techinasia.com/jobs/e0214dc0-73ec-4950-9b6f-7bc8b16ef73f,https://cdn.techinasia.com/data/images/8kj1mQP7j9NdL158nqs4ieYIK6qs1sXMH3aJ2zFv.jpeg,,,,"Software Engineer,Software,Full-time"
a0a7276d-5854-40cb-9eef-f5da942c6b98,LLM Engineer,sonar,"Singapore, Singapore",https://www.techinasia.com/jobs/a0a7276d-5854-40cb-9eef-f5da942c6b98,https://cdn.techinasia.com/data/images/xYccp7E5dHXB8jN3hrZDXB8tAl42USqYGULUmjxd.jpeg,,,,"Software Engineer,Software,Full-time"
bc943f93-633c-4043-9a77-f898a402d80b,Frontend Engineer,sonar,"Singapore, Singapore",https://www.techinasia.com/jobs/bc943f93-633c-4043-9a77-f898a402d80b,https://cdn.techinasia.com/data/images/xYccp7E5dHXB8jN3hrZDXB8tAl42USqYGULUmjxd.jpeg,,,,"Software Engineer,Software,Full-time"
b5fcf8c2-d1fe-4ee5-8474-ba78f41ce463,Backend Engineer (Java),sonar,"Singapore, Singapore",https://www.techinasia.com/jobs/b5fcf8c2-d1fe-4ee5-8474-ba78f41ce463,https://cdn.techinasia.com/data/images/xYccp7E5dHXB8jN3hrZDXB8tAl42USqYGULUmjxd.jpeg,,,,"Software Engineer,Software,Full-time"
aea2be6b-68fc-4a48-ba49-d96bd0e90d2d,Regional Senior Manager API Partnerships (Singapore),tiket.com,"Singapore, Singapore",https://www.techinasia.com/jobs/aea2be6b-68fc-4a48-ba49-d96bd0e90d2d,https://cdn.techinasia.com/data/images/slwhwrFSOhdaee2JH9Y6dhNArjDt26M5rmQa631X.png,,,,"Sales & Business Development,Online Booking,Full-time"
246c3f9e-8913-4020-874e-0075954d84ef,Backend Software Engineer,pelago,"Singapore, Singapore",https://www.techinasia.com/jobs/246c3f9e-8913-4020-874e-0075954d84ef,https://cdn.techinasia.com/data/images/XOkAD4qb64yk9X8twpb4S5A6sKPuRcD2OdSx1ZWn.jpeg,,,,"Software Engineer,Travel & Tourism,Full-time"
